month,total.total,timeRange.start,timeRange.end
2008-06-04T00:00:00.000Z,390547533,2008-06-04T00:00:00.000Z,2008-06-05T00:00:00.000Z
2008-06-05T00:00:00.000Z,387593742,2008-06-05T00:00:00.000Z,2008-06-06T00:00:00.000Z
2008-06-06T00:00:00.000Z,356693425,2008-06-06T00:00:00.000Z,2008-06-07T00:00:00.000Z
2008-06-07T00:00:00.000Z,305619175,2008-06-07T00:00:00.000Z,2008-06-08T00:00:00.000Z
2008-06-08T00:00:00.000Z,331647146,2008-06-08T00:00:00.000Z,2008-06-09T00:00:00.000Z
2008-06-09T00:00:00.000Z,387913651,2008-06-09T00:00:00.000Z,2008-06-10T00:00:00.000Z
2008-06-10T00:00:00.000Z,388026160,2008-06-10T00:00:00.000Z,2008-06-11T00:00:00.000Z
2008-06-11T00:00:00.000Z,387047174,2008-06-11T00:00:00.000Z,2008-06-12T00:00:00.000Z
2008-06-12T00:00:00.000Z,379686341,2008-06-12T00:00:00.000Z,2008-06-13T00:00:00.000Z
2008-06-13T00:00:00.000Z,348769269,2008-06-13T00:00:00.000Z,2008-06-14T00:00:00.000Z
2008-06-14T00:00:00.000Z,309344862,2008-06-14T00:00:00.000Z,2008-06-15T00:00:00.000Z
2008-06-15T00:00:00.000Z,337563873,2008-06-15T00:00:00.000Z,2008-06-16T00:00:00.000Z
2008-06-16T00:00:00.000Z,388503769,2008-06-16T00:00:00.000Z,2008-06-17T00:00:00.000Z
2008-06-17T00:00:00.000Z,384709342,2008-06-17T00:00:00.000Z,2008-06-18T00:00:00.000Z
2008-06-18T00:00:00.000Z,389820180,2008-06-18T00:00:00.000Z,2008-06-19T00:00:00.000Z
2008-06-19T00:00:00.000Z,375681937,2008-06-19T00:00:00.000Z,2008-06-20T00:00:00.000Z
2008-06-20T00:00:00.000Z,345373575,2008-06-20T00:00:00.000Z,2008-06-21T00:00:00.000Z
2008-06-21T00:00:00.000Z,308769039,2008-06-21T00:00:00.000Z,2008-06-22T00:00:00.000Z
2008-06-22T00:00:00.000Z,331588200,2008-06-22T00:00:00.000Z,2008-06-23T00:00:00.000Z
2008-06-23T00:00:00.000Z,390908312,2008-06-23T00:00:00.000Z,2008-06-24T00:00:00.000Z
2008-06-24T00:00:00.000Z,384203168,2008-06-24T00:00:00.000Z,2008-06-25T00:00:00.000Z
2008-06-25T00:00:00.000Z,375615575,2008-06-25T00:00:00.000Z,2008-06-26T00:00:00.000Z
